Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2017/3/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
China,CHN,Commercial service exports (current US$),TX.VAL.SERV.CD.WT,,,,,,,,,,,,,,,,,,,,,,,2476000000,2466000000,2783000000,2925000000,3612000000,4233000000,4721000000,4452000000,5748000000,6864000000,9108000000,10992000000,16354000000,18429960000,20567000000,57485000000,62363000000,66007000000,78423162000,89676000000,1.02E+11,57319786079,78780946446,77974071361,93492297850,1.25E+11,1.45E+11,1.22E+11,1.17E+11,2.00E+11,2.01E+11,2.06E+11,2.79E+11,2.85E+11,
China,CHN,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,,,,,,,,,,,,,,,,,,,,,,,10.42003231,6.285482563,13.79805965,15.31623932,23.28349945,22.27734467,10.95106969,20.17070979,18.73695198,31.54137529,33.08080808,35.72598253,25.99975541,24.39359608,34.88112024,73.50613203,75.44537626,74.49815929,74.3856681,74.62754806,74.10178179,54.98373871,51.40802161,41.75349401,40.46069583,44.19998192,44.04229542,46.38494958,28.73193344,56.11407383,53.05974616,53.10926006,45.34166476,43.94811198,
China,CHN,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,7.262874042,8.830953078,8.956954772,8.91883324,10.48903906,10.97498826,12.41638343,15.8252509,19.06718619,21.08241073,24.91583167,28.85599291,34.0846619,36.81496611,48.55720035,59.70233103,60.61243243,73.35064185,73.71981878,78.22177101,100,106.7796134,130.6549279,175.8518156,238.0894291,305.75595,388.8307926,489.7437029,574.1074546,482.1819962,633.1199865,761.7809577,822.1064754,886.4279322,939.9136447,912.889893,
China,CHN,Merchandise exports to low- and middle-income economies within region (% of total merchandise exports),TX.VAL.MRCH.WR.ZS,,4.469987229,,,,,,,,,,,,,,,,,5.877598392,6.161361255,6.352540355,5.025240295,4.381354886,4.033312965,4.114544934,3.772998053,3.111520596,3.474735188,3.876835921,3.655630926,4.050306,4.176654684,3.909443844,4.150214975,4.21555231,5.052507771,4.727298092,4.91959725,4.125196901,4.215788805,4.886321131,5.063612705,5.29859964,5.225152581,5.272581045,5.280314387,5.154160449,5.490918989,5.962822756,6.64440681,6.964948067,7.405764381,8.282925888,9.227572891,9.743508044,,
China,CHN,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,,469800000,,,,,,,,,,,,,,,,,9650200000,13552200000,18139200000,21473600000,21863100000,22093500000,24821700000,27328400000,31367300000,39462000000,47660000000,52910249083,62756123955,71963167361,85617881558,91692190000,1.21E+11,1.49E+11,1.51E+11,1.83E+11,1.84E+11,1.95E+11,2.49E+11,2.67E+11,3.26E+11,4.38E+11,5.94E+11,7.62E+11,9.69E+11,1.22E+12,1.43E+12,1.20E+12,1.58E+12,1.90E+12,2.05E+12,2.21E+12,2.34E+12,,
China,CHN,"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",TX.VAL.MRCH.RS.ZS,,0.681140911,,,,,,,,,,,,,,,,,15.85770243,13.36166822,10.50046309,4.099918039,3.745123061,3.506008555,4.257564953,6.080853617,6.61230007,5.494399676,5.555392363,7.332943306,5.369048346,3.221167781,1.561702454,0.775363747,0.710530474,0.820556405,0.719655749,0.02690591,0.034300627,0.061338987,0.054025972,0.060225323,0.073673856,0.093597468,0.061525831,0.083346858,0.096063323,0.091409228,0.051087223,0.136476894,0.24336639,0.248402921,0.178560539,0.128374435,0.095818948,,
China,CHN,Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports),TX.VAL.MRCH.R6.ZS,,3.405704555,,,,,,,,,,,,,,,,,1.193757642,0.667050368,0.637293817,2.377803442,2.301137533,1.619933465,1.476127743,1.039943795,1.396996235,2.595154832,2.982794796,0.862192123,1.517517405,0.845907736,0.974854767,1.118648164,0.947279094,1.187054467,1.23420731,1.267384422,1.623103133,1.406225984,1.421932097,1.641826094,1.52042962,1.6919392,1.656572788,1.741209936,1.944172616,2.154558003,2.523149923,2.732457901,2.745575302,2.921175052,3.088983312,3.135943196,3.421952454,,
China,CHN,Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports),TX.VAL.MRCH.R5.ZS,,2.788420605,,,,,,,,,,,,,,,,,1.481834573,1.599740264,1.105892211,2.036919753,2.077473002,1.827686876,1.806483843,1.615169567,1.800920066,1.545537479,1.452161141,1.580901649,1.550532187,1.56027457,1.27046124,1.527580484,1.459115565,1.686395389,1.48037798,1.456468729,1.407057674,1.501792549,1.523386034,1.553683912,1.672928513,1.640479573,1.890828995,2.093683699,2.413916712,2.88448898,3.097099842,3.483963146,3.647222806,3.751460262,3.440446485,3.404579662,3.664377527,,
China,CHN,Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports),TX.VAL.MRCH.R4.ZS,,6.130268199,,,,,,,,,,,,,,,,,2.176120702,2.047638022,2.812692952,6.653751583,10.0859439,10.98739448,8.840248653,5.61028088,5.953333567,5.843089555,3.490138481,1.599028571,1.536370549,1.243916899,1.235683459,1.314875345,1.013384668,0.997067293,1.002583031,1.047095119,1.288626988,1.424631476,1.292412454,1.419812117,1.541661509,1.537308247,1.492242696,1.542501257,1.684284578,1.923365321,2.09418456,2.545077722,2.383876495,2.281453678,2.234723542,2.390789996,2.844574145,,
China,CHN,Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports),TX.VAL.MRCH.R3.ZS,,0.127713921,,,,,,,,,,,,,,,,,0.792729684,1.466182612,2.066243274,2.413661426,2.726969186,2.28076131,2.092121007,2.163317282,1.31538258,1.064315037,0.664078892,0.848758053,1.021220476,0.816726141,0.848580912,1.308814851,1.451330895,1.547805941,1.397891757,1.794559198,2.047619035,1.901705591,2.066782849,2.321117829,2.345427127,2.129291745,2.409718012,2.383135215,2.849768607,3.167810665,3.776249819,3.589602923,4.428410245,4.809927128,4.884534815,4.621149243,4.465221082,,
